rl	V(vo)
3.860000000000028e+01	5.020856e+00
3.870000000000028e+01	5.020857e+00
3.880000000000028e+01	5.020858e+00
3.890000000000028e+01	5.020859e+00
3.900000000000028e+01	5.020860e+00
3.910000000000029e+01	5.020860e+00
3.920000000000029e+01	5.020861e+00
3.930000000000029e+01	5.020862e+00
3.940000000000029e+01	5.020863e+00
3.950000000000029e+01	5.020864e+00
3.960000000000029e+01	5.020864e+00
3.970000000000029e+01	5.020865e+00
3.980000000000030e+01	5.020865e+00
3.990000000000030e+01	5.020866e+00
4.000000000000030e+01	5.020867e+00
4.010000000000030e+01	5.020868e+00
4.020000000000030e+01	5.020868e+00
4.030000000000030e+01	5.020869e+00
4.040000000000030e+01	5.020870e+00
4.050000000000031e+01	5.020871e+00
4.060000000000031e+01	5.020871e+00
4.070000000000031e+01	5.020872e+00
4.080000000000031e+01	5.020873e+00
4.090000000000031e+01	5.020874e+00
4.100000000000031e+01	5.020874e+00
4.110000000000031e+01	5.020875e+00
4.120000000000032e+01	5.020875e+00
4.130000000000032e+01	5.020876e+00
4.140000000000032e+01	5.020877e+00
4.150000000000032e+01	5.020877e+00
4.160000000000032e+01	5.020878e+00
4.170000000000032e+01	5.020879e+00
4.180000000000032e+01	5.020880e+00
4.190000000000033e+01	5.020880e+00
4.200000000000033e+01	5.020881e+00
4.210000000000033e+01	5.020884e+00
4.220000000000033e+01	5.020882e+00
4.230000000000033e+01	5.020883e+00
4.240000000000033e+01	5.020884e+00
4.250000000000033e+01	5.020884e+00
4.260000000000034e+01	5.020885e+00
4.270000000000034e+01	5.020885e+00
4.280000000000034e+01	5.020886e+00
4.290000000000034e+01	5.020886e+00
4.300000000000034e+01	5.020887e+00
4.310000000000034e+01	5.020888e+00
4.320000000000034e+01	5.020888e+00
4.330000000000035e+01	5.020889e+00
4.340000000000035e+01	5.020890e+00
4.350000000000035e+01	5.020890e+00
4.360000000000035e+01	5.020891e+00
4.370000000000035e+01	5.020892e+00
4.380000000000035e+01	5.020892e+00
4.390000000000035e+01	5.020893e+00
4.400000000000036e+01	5.020894e+00
4.410000000000036e+01	5.020894e+00
4.420000000000036e+01	5.020895e+00
4.430000000000036e+01	5.020895e+00
4.440000000000036e+01	5.020896e+00
4.450000000000036e+01	5.020896e+00
4.460000000000036e+01	5.020897e+00
4.470000000000037e+01	5.020897e+00
4.480000000000037e+01	5.020898e+00
4.490000000000037e+01	5.020899e+00
4.500000000000037e+01	5.020899e+00
4.510000000000037e+01	5.020900e+00
4.520000000000037e+01	5.020900e+00
4.530000000000037e+01	5.020901e+00
4.540000000000038e+01	5.020902e+00
4.550000000000038e+01	5.020902e+00
4.560000000000038e+01	5.020903e+00
4.570000000000038e+01	5.020903e+00
4.580000000000038e+01	5.020904e+00
4.590000000000038e+01	5.020905e+00
4.600000000000038e+01	5.020905e+00
4.610000000000039e+01	5.020905e+00
4.620000000000039e+01	5.020906e+00
4.630000000000039e+01	5.020906e+00
4.640000000000039e+01	5.020907e+00
4.650000000000039e+01	5.020908e+00
4.660000000000039e+01	5.020908e+00
4.670000000000039e+01	5.020909e+00
4.680000000000040e+01	5.020909e+00
4.690000000000040e+01	5.020910e+00
4.700000000000040e+01	5.020910e+00
4.710000000000040e+01	5.020911e+00
4.720000000000040e+01	5.020911e+00
4.730000000000040e+01	5.020912e+00
4.740000000000040e+01	5.020913e+00
4.750000000000041e+01	5.020913e+00
4.760000000000041e+01	5.020914e+00
4.770000000000041e+01	5.020914e+00
4.780000000000041e+01	5.020915e+00
4.790000000000041e+01	5.020915e+00
4.800000000000041e+01	5.020916e+00
4.810000000000041e+01	5.020916e+00
4.820000000000041e+01	5.020916e+00
4.830000000000042e+01	5.020917e+00
4.840000000000042e+01	5.020917e+00
4.850000000000042e+01	5.020918e+00
4.860000000000042e+01	5.020918e+00
4.870000000000042e+01	5.020919e+00
4.880000000000042e+01	5.020920e+00
4.890000000000042e+01	5.020920e+00
4.900000000000043e+01	5.020921e+00
4.910000000000043e+01	5.020921e+00
4.920000000000043e+01	5.020922e+00
4.930000000000043e+01	5.020922e+00
4.940000000000043e+01	5.020923e+00
4.950000000000043e+01	5.020923e+00
4.960000000000043e+01	5.020924e+00
4.970000000000044e+01	5.020924e+00
4.980000000000044e+01	5.020925e+00
4.990000000000044e+01	5.020925e+00
5.000000000000000e+01	5.020926e+00
