rl	V(vo)
1.449999999999996e+01	5.020408e+00
1.459999999999996e+01	5.020419e+00
1.469999999999996e+01	5.020463e+00
1.479999999999996e+01	5.020424e+00
1.489999999999996e+01	5.020537e+00
1.499999999999996e+01	5.020434e+00
1.509999999999996e+01	5.020440e+00
1.519999999999996e+01	5.020476e+00
1.529999999999996e+01	5.020450e+00
1.539999999999996e+01	5.020455e+00
1.549999999999996e+01	5.020698e+00
1.559999999999996e+01	5.020464e+00
1.569999999999996e+01	5.020471e+00
1.579999999999996e+01	5.020476e+00
1.589999999999996e+01	5.020668e+00
1.599999999999996e+01	5.020483e+00
1.609999999999996e+01	5.020452e+00
1.619999999999996e+01	5.020491e+00
1.629999999999996e+01	5.020483e+00
1.639999999999996e+01	5.020445e+00
1.649999999999996e+01	5.020439e+00
1.659999999999997e+01	5.020516e+00
1.669999999999997e+01	5.020512e+00
1.679999999999997e+01	5.020526e+00
1.689999999999997e+01	5.020534e+00
1.699999999999997e+01	5.020524e+00
1.709999999999997e+01	5.020528e+00
1.719999999999997e+01	5.020532e+00
1.729999999999998e+01	5.020535e+00
1.739999999999998e+01	5.020539e+00
1.749999999999998e+01	5.020543e+00
1.759999999999998e+01	5.020547e+00
1.769999999999998e+01	5.020550e+00
1.779999999999998e+01	5.020554e+00
1.789999999999998e+01	5.020557e+00
1.799999999999999e+01	5.020561e+00
1.809999999999999e+01	5.020564e+00
1.819999999999999e+01	5.020627e+00
1.829999999999999e+01	5.020571e+00
1.839999999999999e+01	5.020574e+00
1.849999999999999e+01	5.020577e+00
1.859999999999999e+01	5.020581e+00
1.870000000000000e+01	5.020584e+00
1.880000000000000e+01	5.020587e+00
1.890000000000000e+01	5.020594e+00
1.900000000000000e+01	5.020593e+00
1.910000000000000e+01	5.020597e+00
1.920000000000000e+01	5.020777e+00
1.930000000000000e+01	5.020602e+00
1.940000000000001e+01	5.020606e+00
1.950000000000001e+01	5.020629e+00
1.960000000000001e+01	5.020624e+00
1.970000000000001e+01	5.020616e+00
1.980000000000001e+01	5.020623e+00
1.990000000000001e+01	5.020619e+00
2.000000000000001e+01	5.020622e+00
2.010000000000002e+01	5.020625e+00
2.020000000000002e+01	5.020590e+00
2.030000000000002e+01	5.020640e+00
2.040000000000002e+01	5.020640e+00
2.050000000000002e+01	5.020647e+00
2.060000000000002e+01	5.020578e+00
2.070000000000002e+01	5.020641e+00
2.080000000000003e+01	5.020643e+00
2.090000000000003e+01	5.020646e+00
2.100000000000003e+01	5.020648e+00
2.110000000000003e+01	5.020651e+00
2.120000000000003e+01	5.020659e+00
2.130000000000003e+01	5.020656e+00
2.140000000000003e+01	5.020658e+00
