vreg	V(vo)/vreg
1.799999999999999e+01	2.795599e-01
1.809999999999999e+01	2.780220e-01
1.820000000000000e+01	2.765012e-01
1.830000000000000e+01	2.749968e-01
1.840000000000000e+01	2.735089e-01
1.850000000000000e+01	2.720370e-01
1.860000000000000e+01	2.705809e-01
1.870000000000000e+01	2.691404e-01
1.880000000000000e+01	2.677152e-01
1.890000000000001e+01	2.663051e-01
1.900000000000001e+01	2.649098e-01
1.910000000000001e+01	2.635291e-01
1.920000000000001e+01	2.621627e-01
1.930000000000001e+01	2.608106e-01
1.940000000000001e+01	2.594723e-01
1.950000000000001e+01	2.581478e-01
1.960000000000002e+01	2.568367e-01
1.970000000000002e+01	2.555390e-01
1.980000000000002e+01	2.542543e-01
1.990000000000002e+01	2.529826e-01
2.000000000000002e+01	2.517236e-01
2.010000000000002e+01	2.504770e-01
2.020000000000002e+01	2.492428e-01
2.030000000000003e+01	2.480208e-01
2.040000000000003e+01	2.468107e-01
2.050000000000003e+01	2.456124e-01
2.060000000000003e+01	2.444258e-01
2.070000000000003e+01	2.432506e-01
2.080000000000003e+01	2.420867e-01
2.090000000000003e+01	2.409339e-01
2.100000000000004e+01	2.397921e-01
2.110000000000004e+01	2.386611e-01
2.120000000000004e+01	2.375407e-01
2.130000000000004e+01	2.364309e-01
2.140000000000004e+01	2.353314e-01
2.150000000000004e+01	2.342422e-01
2.160000000000004e+01	2.331630e-01
2.170000000000005e+01	2.320938e-01
2.180000000000005e+01	2.310343e-01
2.190000000000005e+01	2.299846e-01
2.200000000000005e+01	2.289443e-01
2.210000000000005e+01	2.279135e-01
2.220000000000005e+01	2.268919e-01
2.230000000000005e+01	2.258795e-01
2.240000000000006e+01	2.248762e-01
2.250000000000006e+01	2.238817e-01
2.260000000000006e+01	2.228960e-01
2.270000000000006e+01	2.219190e-01
2.280000000000006e+01	2.209506e-01
2.290000000000006e+01	2.199906e-01
2.300000000000006e+01	2.190390e-01
2.310000000000007e+01	2.180956e-01
2.320000000000007e+01	2.171603e-01
2.330000000000007e+01	2.162330e-01
2.340000000000007e+01	2.153136e-01
2.350000000000007e+01	2.144021e-01
2.360000000000007e+01	2.134983e-01
2.370000000000007e+01	2.126021e-01
2.380000000000008e+01	2.117134e-01
2.390000000000008e+01	2.108322e-01
2.400000000000000e+01	2.099582e-01
