rl	V(vo)
1.229999999999997e+01	4.973412e+00
1.239999999999997e+01	4.974227e+00
1.249999999999997e+01	4.975025e+00
1.259999999999997e+01	4.975804e+00
1.269999999999997e+01	4.976567e+00
1.279999999999997e+01	4.977314e+00
1.289999999999997e+01	4.978044e+00
1.299999999999997e+01	4.978759e+00
1.309999999999997e+01	4.979460e+00
1.319999999999997e+01	4.980146e+00
1.329999999999997e+01	4.980818e+00
1.339999999999997e+01	4.981477e+00
1.349999999999997e+01	4.982122e+00
1.359999999999997e+01	4.982756e+00
1.369999999999997e+01	4.983376e+00
1.379999999999997e+01	4.983985e+00
1.389999999999997e+01	4.984582e+00
1.399999999999997e+01	4.985168e+00
1.409999999999997e+01	4.985743e+00
1.419999999999997e+01	4.986308e+00
1.429999999999997e+01	4.986862e+00
1.439999999999996e+01	4.987406e+00
1.449999999999996e+01	4.987940e+00
1.459999999999996e+01	4.988465e+00
1.469999999999996e+01	4.988980e+00
1.479999999999996e+01	4.989487e+00
1.489999999999996e+01	4.989985e+00
1.499999999999996e+01	4.990474e+00
1.509999999999996e+01	4.990954e+00
1.519999999999996e+01	4.991427e+00
1.529999999999996e+01	4.991892e+00
1.539999999999996e+01	4.992350e+00
1.549999999999996e+01	4.992799e+00
1.559999999999996e+01	4.993241e+00
1.569999999999996e+01	4.993682e+00
1.579999999999996e+01	4.994110e+00
1.589999999999996e+01	4.994531e+00
1.599999999999996e+01	4.994945e+00
1.609999999999996e+01	4.995353e+00
1.619999999999996e+01	4.995755e+00
1.629999999999996e+01	4.996150e+00
1.639999999999996e+01	4.996540e+00
1.649999999999996e+01	4.996923e+00
1.659999999999997e+01	4.997301e+00
1.669999999999997e+01	4.997674e+00
1.679999999999997e+01	4.998040e+00
1.689999999999997e+01	4.998402e+00
1.699999999999997e+01	4.998758e+00
1.709999999999997e+01	4.999109e+00
1.719999999999997e+01	4.999455e+00
1.729999999999998e+01	4.999796e+00
1.739999999999998e+01	5.000133e+00
1.749999999999998e+01	5.000464e+00
1.759999999999998e+01	5.000792e+00
1.769999999999998e+01	5.001114e+00
1.779999999999998e+01	5.001432e+00
1.789999999999998e+01	5.001746e+00
1.799999999999999e+01	5.002055e+00
1.809999999999999e+01	5.002360e+00
1.819999999999999e+01	5.002662e+00
1.829999999999999e+01	5.002959e+00
1.839999999999999e+01	5.003253e+00
1.849999999999999e+01	5.003542e+00
1.859999999999999e+01	5.003828e+00
1.870000000000000e+01	5.004110e+00
1.880000000000000e+01	5.004388e+00
1.890000000000000e+01	5.004663e+00
1.900000000000000e+01	5.004934e+00
1.910000000000000e+01	5.005202e+00
1.920000000000000e+01	5.005467e+00
1.930000000000000e+01	5.005728e+00
1.940000000000001e+01	5.005987e+00
